Date,Site Name,Degree Day Area,HDD at 10.5°C,HDD at 15.5°C,HDD at 18.5°C,CDD at 10.5°C,CDD at 15.5°C,CDD at 18.5°C
31/01/15,Thames Valley,Thames Valley - Oxford Area,8.0,13.0,16.0,0.0,0.0,0.0
01/02/15,Thames Valley,Thames Valley - Oxford Area,7.9,12.8,15.8,0.0,0.0,0.0
02/02/15,Thames Valley,Thames Valley - Oxford Area,10.9,15.9,18.9,0.0,0.0,0.0
03/02/15,Thames Valley,Thames Valley - Oxford Area,9.8,14.8,17.8,0.0,0.0,0.0
04/02/15,Thames Valley,Thames Valley - Oxford Area,9.0,14.0,17.0,0.0,0.0,0.0
05/02/15,Thames Valley,Thames Valley - Oxford Area,8.9,13.9,16.9,0.0,0.0,0.0
06/02/15,Thames Valley,Thames Valley - Oxford Area,9.7,14.7,17.7,0.0,0.0,0.0
07/02/15,Thames Valley,Thames Valley - Oxford Area,8.2,13.1,16.0,0.0,0.0,0.0
08/02/15,Thames Valley,Thames Valley - Oxford Area,7.7,12.7,15.7,0.0,0.0,0.0
09/02/15,Thames Valley,Thames Valley - Oxford Area,6.2,11.2,14.2,0.0,0.0,0.0
10/02/15,Thames Valley,Thames Valley - Oxford Area,7.2,12.2,15.2,0.0,0.0,0.0
11/02/15,Thames Valley,Thames Valley - Oxford Area,6.2,11.2,14.2,0.0,0.0,0.0
12/02/15,Thames Valley,Thames Valley - Oxford Area,7.1,12.1,15.1,0.0,0.0,0.0
13/02/15,Thames Valley,Thames Valley - Oxford Area,4.3,9.3,12.3,0.0,0.0,0.0
14/02/15,Thames Valley,Thames Valley - Oxford Area,5.2,10.2,13.2,0.0,0.0,0.0
15/02/15,Thames Valley,Thames Valley - Oxford Area,5.4,10.4,13.4,0.0,0.0,0.0
16/02/15,Thames Valley,Thames Valley - Oxford Area,5.8,10.8,13.8,0.0,0.0,0.0
17/02/15,Thames Valley,Thames Valley - Oxford Area,6.7,11.7,14.7,0.0,0.0,0.0
18/02/15,Thames Valley,Thames Valley - Oxford Area,5.5,10.5,13.5,0.0,0.0,0.0
19/02/15,Thames Valley,Thames Valley - Oxford Area,3.9,8.9,11.9,0.0,0.0,0.0
20/02/15,Thames Valley,Thames Valley - Oxford Area,5.5,10.5,13.5,0.0,0.0,0.0
21/02/15,Thames Valley,Thames Valley - Oxford Area,7.1,12.1,15.1,0.0,0.0,0.0
22/02/15,Thames Valley,Thames Valley - Oxford Area,7.0,12.0,15.0,0.0,0.0,0.0
23/02/15,Thames Valley,Thames Valley - Oxford Area,6.2,11.2,14.2,0.0,0.0,0.0
24/02/15,Thames Valley,Thames Valley - Oxford Area,4.7,9.7,12.7,0.0,0.0,0.0
25/02/15,Thames Valley,Thames Valley - Oxford Area,2.1,6.9,9.9,0.2,0.0,0.0
26/02/15,Thames Valley,Thames Valley - Oxford Area,2.4,7.4,10.4,0.1,0.0,0.0
27/02/15,Thames Valley,Thames Valley - Oxford Area,6.2,11.2,14.2,0.0,0.0,0.0
28/02/15,Thames Valley,Thames Valley - Oxford Area,2.1,7.1,10.1,0.0,0.0,0.0
01/03/15,Thames Valley,Thames Valley - Oxford Area,3.3,8.3,11.3,0.0,0.0,0.0
02/03/15,Thames Valley,Thames Valley - Oxford Area,6.0,11.0,14.0,0.0,0.0,0.0
03/03/15,Thames Valley,Thames Valley - Oxford Area,6.0,11.0,14.0,0.0,0.0,0.0
04/03/15,Thames Valley,Thames Valley - Oxford Area,5.5,10.5,13.5,0.0,0.0,0.0
05/03/15,Thames Valley,Thames Valley - Oxford Area,5.1,10.1,13.1,0.0,0.0,0.0
06/03/15,Thames Valley,Thames Valley - Oxford Area,2.7,7.4,10.4,0.3,0.0,0.0
07/03/15,Thames Valley,Thames Valley - Oxford Area,2.2,6.2,9.2,1.0,0.0,0.0
08/03/15,Thames Valley,Thames Valley - Oxford Area,2.7,7.5,10.5,0.2,0.0,0.0
09/03/15,Thames Valley,Thames Valley - Oxford Area,4.1,9.1,12.1,0.0,0.0,0.0
10/03/15,Thames Valley,Thames Valley - Oxford Area,4.0,8.8,11.8,0.2,0.0,0.0
11/03/15,Thames Valley,Thames Valley - Oxford Area,3.2,7.8,10.8,0.4,0.0,0.0
12/03/15,Thames Valley,Thames Valley - Oxford Area,1.0,5.4,8.4,0.6,0.0,0.0
13/03/15,Thames Valley,Thames Valley - Oxford Area,2.7,7.5,10.5,0.1,0.0,0.0
14/03/15,Thames Valley,Thames Valley - Oxford Area,5.6,10.6,13.6,0.0,0.0,0.0
15/03/15,Thames Valley,Thames Valley - Oxford Area,4.9,9.9,12.9,0.0,0.0,0.0
16/03/15,Thames Valley,Thames Valley - Oxford Area,5.1,10.1,13.1,0.0,0.0,0.0
17/03/15,Thames Valley,Thames Valley - Oxford Area,4.1,9.1,12.1,0.0,0.0,0.0
18/03/15,Thames Valley,Thames Valley - Oxford Area,4.7,9.7,12.7,0.1,0.0,0.0
19/03/15,Thames Valley,Thames Valley - Oxford Area,4.6,9.6,12.6,0.0,0.0,0.0
20/03/15,Thames Valley,Thames Valley - Oxford Area,2.9,7.4,10.4,0.6,0.0,0.0
21/03/15,Thames Valley,Thames Valley - Oxford Area,4.0,9.0,12.0,0.0,0.0,0.0
22/03/15,Thames Valley,Thames Valley - Oxford Area,4.3,9.3,12.3,0.0,0.0,0.0
23/03/15,Thames Valley,Thames Valley - Oxford Area,4.2,9.1,12.1,0.0,0.0,0.0
24/03/15,Thames Valley,Thames Valley - Oxford Area,4.8,9.8,12.8,0.0,0.0,0.0
25/03/15,Thames Valley,Thames Valley - Oxford Area,6.3,11.3,14.3,0.0,0.0,0.0
26/03/15,Thames Valley,Thames Valley - Oxford Area,3.1,7.9,10.9,0.3,0.0,0.0
27/03/15,Thames Valley,Thames Valley - Oxford Area,3.5,8.3,11.3,0.2,0.0,0.0
28/03/15,Thames Valley,Thames Valley - Oxford Area,0.8,4.7,7.7,1.1,0.0,0.0
29/03/15,Thames Valley,Thames Valley - Oxford Area,1.0,5.5,8.5,0.5,0.0,0.0
30/03/15,Thames Valley,Thames Valley - Oxford Area,2.0,6.9,9.9,0.1,0.0,0.0
31/03/15,Thames Valley,Thames Valley - Oxford Area,1.5,6.2,9.2,0.3,0.0,0.0
01/04/15,Thames Valley,Thames Valley - Oxford Area,3.1,8.1,11.1,0.0,0.0,0.0
02/04/15,Thames Valley,Thames Valley - Oxford Area,1.9,6.8,9.8,0.1,0.0,0.0
03/04/15,Thames Valley,Thames Valley - Oxford Area,1.2,5.8,8.8,0.4,0.0,0.0
04/04/15,Thames Valley,Thames Valley - Oxford Area,2.3,7.3,10.3,0.0,0.0,0.0
05/04/15,Thames Valley,Thames Valley - Oxford Area,2.1,6.6,9.6,0.5,0.0,0.0
06/04/15,Thames Valley,Thames Valley - Oxford Area,3.1,6.4,9.0,2.2,0.4,0.0
07/04/15,Thames Valley,Thames Valley - Oxford Area,2.7,6.2,8.9,1.7,0.3,0.0
08/04/15,Thames Valley,Thames Valley - Oxford Area,1.5,4.4,6.8,2.7,0.6,0.0
09/04/15,Thames Valley,Thames Valley - Oxford Area,1.5,4.5,7.0,2.5,0.5,0.0
10/04/15,Thames Valley,Thames Valley - Oxford Area,1.4,4.1,6.2,3.4,1.1,0.2
11/04/15,Thames Valley,Thames Valley - Oxford Area,1.2,5.6,8.6,0.7,0.0,0.0
12/04/15,Thames Valley,Thames Valley - Oxford Area,2.6,5.9,8.9,1.7,0.0,0.0
13/04/15,Thames Valley,Thames Valley - Oxford Area,1.7,5.1,7.9,1.7,0.1,0.0
14/04/15,Thames Valley,Thames Valley - Oxford Area,1.1,3.6,5.7,3.9,1.3,0.4
15/04/15,Thames Valley,Thames Valley - Oxford Area,0.5,2.6,4.4,5.1,2.2,1.0
16/04/15,Thames Valley,Thames Valley - Oxford Area,0.8,3.7,6.2,2.6,0.5,0.0
17/04/15,Thames Valley,Thames Valley - Oxford Area,1.4,5.0,8.0,1.5,0.0,0.0
18/04/15,Thames Valley,Thames Valley - Oxford Area,2.5,5.9,8.9,1.6,0.0,0.0
19/04/15,Thames Valley,Thames Valley - Oxford Area,3.3,8.2,11.2,0.1,0.0,0.0
20/04/15,Thames Valley,Thames Valley - Oxford Area,2.8,5.8,8.3,2.4,0.5,0.0
21/04/15,Thames Valley,Thames Valley - Oxford Area,1.9,4.8,7.2,2.7,0.6,0.0
22/04/15,Thames Valley,Thames Valley - Oxford Area,2.0,5.2,8.0,2.0,0.1,0.0
23/04/15,Thames Valley,Thames Valley - Oxford Area,1.8,5.1,7.9,1.8,0.2,0.0
24/04/15,Thames Valley,Thames Valley - Oxford Area,1.3,4.1,7.0,2.2,0.1,0.0
25/04/15,Thames Valley,Thames Valley - Oxford Area,0.1,2.8,5.6,2.5,0.2,0.0
26/04/15,Thames Valley,Thames Valley - Oxford Area,2.3,7.0,10.0,0.3,0.0,0.0
27/04/15,Thames Valley,Thames Valley - Oxford Area,3.8,8.3,11.3,0.5,0.0,0.0
28/04/15,Thames Valley,Thames Valley - Oxford Area,3.0,7.6,10.6,0.4,0.0,0.0
29/04/15,Thames Valley,Thames Valley - Oxford Area,2.3,6.6,9.6,0.6,0.0,0.0
30/04/15,Thames Valley,Thames Valley - Oxford Area,2.4,6.5,9.5,0.9,0.0,0.0
01/05/15,Thames Valley,Thames Valley - Oxford Area,2.5,7.0,10.0,0.5,0.0,0.0
02/05/15,Thames Valley,Thames Valley - Oxford Area,2.0,6.1,9.1,0.9,0.0,0.0
03/05/15,Thames Valley,Thames Valley - Oxford Area,0.1,2.5,5.2,2.9,0.2,0.0
04/05/15,Thames Valley,Thames Valley - Oxford Area,0.1,2.6,5.4,2.7,0.2,0.0
05/05/15,Thames Valley,Thames Valley - Oxford Area,0.0,2.7,5.7,2.3,0.0,0.0
06/05/15,Thames Valley,Thames Valley - Oxford Area,0.5,4.6,7.6,0.9,0.0,0.0
07/05/15,Thames Valley,Thames Valley - Oxford Area,0.6,3.9,6.9,1.7,0.0,0.0
08/05/15,Thames Valley,Thames Valley - Oxford Area,0.9,4.0,7.0,1.9,0.0,0.0
09/05/15,Thames Valley,Thames Valley - Oxford Area,0.2,3.3,6.3,1.9,0.0,0.0
10/05/15,Thames Valley,Thames Valley - Oxford Area,0.6,3.0,5.8,2.8,0.2,0.0
11/05/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.7,3.6,4.6,1.3,0.2
12/05/15,Thames Valley,Thames Valley - Oxford Area,0.4,3.3,6.2,2.2,0.1,0.0
13/05/15,Thames Valley,Thames Valley - Oxford Area,1.3,3.9,6.2,3.1,0.7,0.0
14/05/15,Thames Valley,Thames Valley - Oxford Area,1.8,6.8,9.8,0.0,0.0,0.0
15/05/15,Thames Valley,Thames Valley - Oxford Area,0.8,4.3,7.3,1.6,0.0,0.0
16/05/15,Thames Valley,Thames Valley - Oxford Area,0.2,2.3,5.0,3.3,0.4,0.0
17/05/15,Thames Valley,Thames Valley - Oxford Area,1.2,4.4,7.4,1.8,0.0,0.0
18/05/15,Thames Valley,Thames Valley - Oxford Area,1.1,5.2,8.2,0.9,0.0,0.0
19/05/15,Thames Valley,Thames Valley - Oxford Area,2.1,6.6,9.6,0.5,0.0,0.0
20/05/15,Thames Valley,Thames Valley - Oxford Area,2.0,5.7,8.7,1.3,0.0,0.0
21/05/15,Thames Valley,Thames Valley - Oxford Area,1.4,3.9,6.0,3.6,1.0,0.1
22/05/15,Thames Valley,Thames Valley - Oxford Area,0.6,2.5,4.7,4.1,1.0,0.1
23/05/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.3,3.9,4.1,0.4,0.0
24/05/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.6,4.1,3.9,0.5,0.0
25/05/15,Thames Valley,Thames Valley - Oxford Area,0.6,3.1,6.1,2.5,0.0,0.0
26/05/15,Thames Valley,Thames Valley - Oxford Area,0.6,3.1,5.5,3.1,0.5,0.0
27/05/15,Thames Valley,Thames Valley - Oxford Area,0.9,3.2,5.5,3.5,0.7,0.0
28/05/15,Thames Valley,Thames Valley - Oxford Area,0.1,2.4,5.1,3.0,0.4,0.0
29/05/15,Thames Valley,Thames Valley - Oxford Area,1.1,5.5,8.5,0.6,0.0,0.0
30/05/15,Thames Valley,Thames Valley - Oxford Area,0.8,3.5,6.3,2.5,0.2,0.0
31/05/15,Thames Valley,Thames Valley - Oxford Area,0.4,3.3,6.3,2.1,0.0,0.0
01/06/15,Thames Valley,Thames Valley - Oxford Area,1.0,5.0,8.0,1.0,0.0,0.0
02/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.4,4.0,4.0,0.4,0.0
03/06/15,Thames Valley,Thames Valley - Oxford Area,0.1,2.2,4.5,3.7,0.8,0.0
04/06/15,Thames Valley,Thames Valley - Oxford Area,0.8,2.4,4.0,5.7,2.3,0.9
05/06/15,Thames Valley,Thames Valley - Oxford Area,0.1,1.1,2.9,6.0,2.1,0.8
06/06/15,Thames Valley,Thames Valley - Oxford Area,0.7,3.2,5.6,3.1,0.6,0.0
07/06/15,Thames Valley,Thames Valley - Oxford Area,0.9,3.2,5.1,4.0,1.2,0.2
08/06/15,Thames Valley,Thames Valley - Oxford Area,1.0,3.5,6.0,3.0,0.5,0.0
09/06/15,Thames Valley,Thames Valley - Oxford Area,1.4,5.0,8.0,1.4,0.0,0.0
10/06/15,Thames Valley,Thames Valley - Oxford Area,0.9,3.8,6.6,2.3,0.3,0.0
11/06/15,Thames Valley,Thames Valley - Oxford Area,0.6,2.2,3.7,6.4,3.0,1.5
12/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.2,3.0,5.4,1.5,0.4
13/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.6,3.5,4.5,0.1,0.0
14/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.9,4.5,3.5,0.4,0.0
15/06/15,Thames Valley,Thames Valley - Oxford Area,0.3,2.4,4.3,4.2,1.3,0.2
16/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.2,2.7,6.7,2.9,1.4
17/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.0,2.2,7.1,3.0,1.2
18/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.0,2.7,5.8,1.8,0.6
19/06/15,Thames Valley,Thames Valley - Oxford Area,0.2,1.7,3.4,5.5,2.0,0.7
20/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.9,2.8,5.5,1.3,0.2
21/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.7,2.8,5.3,1.0,0.0
22/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.7,4.3,3.7,0.4,0.0
23/06/15,Thames Valley,Thames Valley - Oxford Area,0.1,1.8,3.6,5.0,1.7,0.4
24/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.9,2.3,6.9,2.8,1.1
25/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.9,2.2,7.3,3.3,1.6
26/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.9,2.5,6.4,2.3,0.9
27/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.0,2.3,7.0,3.0,1.3
28/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.5,2.5,5.6,1.2,0.2
29/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.7,1.9,8.0,3.7,1.9
30/06/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.7,1.5,11.3,7.0,4.8
01/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,0.1,15.4,10.4,7.5
02/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.4,1.3,7.5,2.8,0.8
03/07/15,Thames Valley,Thames Valley - Oxford Area,0.1,1.3,2.2,8.9,5.1,3.0
04/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,0.5,10.4,5.4,2.9
05/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.9,2.9,5.6,1.5,0.4
06/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.1,2.4,6.2,2.3,0.6
07/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.3,1.9,6.7,2.1,0.6
08/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.7,2.4,5.8,1.5,0.2
09/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.3,2.8,6.2,2.5,1.1
10/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.8,1.8,8.8,4.6,2.6
11/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.4,1.5,8.1,3.5,1.6
12/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.1,1.3,7.5,2.7,0.9
13/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,1.3,6.8,1.8,0.1
14/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,1.0,7.4,2.4,0.4
15/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.3,1.7,7.0,2.4,0.7
16/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.9,2.0,7.7,3.6,1.7
17/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.2,1.3,7.9,3.1,1.2
18/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.1,2.5,6.6,2.7,1.1
19/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.7,2.1,7.4,3.1,1.5
20/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.2,2.5,6.9,3.1,1.4
21/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.6,1.7,8.2,3.8,2.0
22/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.4,1.7,6.9,2.2,0.6
23/07/15,Thames Valley,Thames Valley - Oxford Area,0.1,1.5,3.2,5.3,1.7,0.4
24/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,2.1,5.1,2.9,0.0,0.0
25/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.8,3.9,4.3,1.1,0.2
26/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,2.3,5.2,2.8,0.1,0.0
27/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.4,2.6,5.4,0.8,0.0
28/07/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.1,3.4,4.6,0.8,0.0
29/07/15,Thames Valley,Thames Valley - Oxford Area,0.1,2.3,4.8,3.3,0.5,0.0
30/07/15,Thames Valley,Thames Valley - Oxford Area,0.2,2.5,4.6,3.7,0.9,0.1
31/07/15,Thames Valley,Thames Valley - Oxford Area,1.0,3.0,4.7,5.0,2.0,0.7
01/08/15,Thames Valley,Thames Valley - Oxford Area,0.4,2.2,4.0,4.7,1.5,0.3
02/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.3,2.4,7.5,3.8,1.9
03/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.1,1.2,8.2,3.3,1.3
04/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.8,2.3,6.0,1.8,0.4
05/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.5,2.2,6.0,1.5,0.3
06/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.5,1.9,7.2,2.7,1.1
07/08/15,Thames Valley,Thames Valley - Oxford Area,0.3,1.7,3.2,6.6,3.1,1.5
08/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.8,2.0,8.6,4.4,2.6
09/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.9,2.0,7.8,3.7,1.8
10/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.2,1.1,7.3,2.6,0.4
11/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.5,3.4,4.7,1.2,0.2
12/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.6,1.9,7.3,2.9,1.2
13/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.2,1.6,6.5,1.8,0.2
14/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,2.3,5.7,0.7,0.0
15/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.8,2.6,5.5,1.2,0.0
16/08/15,Thames Valley,Thames Valley - Oxford Area,0.2,1.8,3.3,5.4,1.9,0.5
17/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.2,2.8,5.9,2.1,0.6
18/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.0,2.9,5.1,1.1,0.0
19/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.7,3.0,5.0,0.7,0.1
20/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,0.9,7.6,2.6,0.6
21/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,0.4,9.2,4.2,1.6
22/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.0,0.6,11.9,6.9,4.5
23/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.4,1.3,7.2,2.5,0.5
24/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.7,4.6,3.4,0.1,0.0
25/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.4,4.0,4.0,0.4,0.0
26/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.2,2.1,6.1,1.3,0.2
27/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.4,3.7,4.3,0.7,0.0
28/08/15,Thames Valley,Thames Valley - Oxford Area,0.2,1.7,3.6,4.7,1.3,0.2
29/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.6,2.0,6.6,2.2,0.7
30/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,0.2,2.6,5.4,0.6,0.0
31/08/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.4,4.4,3.6,0.0,0.0
01/09/15,Thames Valley,Thames Valley - Oxford Area,0.0,2.0,4.7,3.4,0.4,0.0
02/09/15,Thames Valley,Thames Valley - Oxford Area,0.6,3.1,5.9,2.7,0.2,0.0
03/09/15,Thames Valley,Thames Valley - Oxford Area,0.3,3.4,6.4,2.0,0.0,0.0
04/09/15,Thames Valley,Thames Valley - Oxford Area,0.1,2.7,5.6,2.5,0.1,0.0
05/09/15,Thames Valley,Thames Valley - Oxford Area,0.5,3.5,6.5,2.0,0.0,0.0
06/09/15,Thames Valley,Thames Valley - Oxford Area,1.7,4.2,6.4,3.5,1.0,0.2
07/09/15,Thames Valley,Thames Valley - Oxford Area,0.9,3.5,5.7,3.4,1.0,0.2
08/09/15,Thames Valley,Thames Valley - Oxford Area,0.6,3.5,6.5,2.1,0.0,0.0
09/09/15,Thames Valley,Thames Valley - Oxford Area,0.0,2.0,4.3,3.7,0.7,0.0
10/09/15,Thames Valley,Thames Valley - Oxford Area,0.2,2.6,4.5,4.3,1.7,0.6
11/09/15,Thames Valley,Thames Valley - Oxford Area,0.1,1.6,3.2,5.4,1.9,0.5
12/09/15,Thames Valley,Thames Valley - Oxford Area,0.1,1.1,3.1,5.2,1.2,0.2
13/09/15,Thames Valley,Thames Valley - Oxford Area,0.2,2.5,5.0,3.2,0.6,0.0
14/09/15,Thames Valley,Thames Valley - Oxford Area,0.0,2.8,5.5,2.5,0.2,0.0
15/09/15,Thames Valley,Thames Valley - Oxford Area,0.1,2.5,5.1,3.0,0.4,0.0
16/09/15,Thames Valley,Thames Valley - Oxford Area,0.0,3.1,6.0,2.0,0.0,0.0
17/09/15,Thames Valley,Thames Valley - Oxford Area,0.3,2.7,5.4,2.9,0.3,0.0
18/09/15,Thames Valley,Thames Valley - Oxford Area,0.0,2.0,4.4,3.7,0.7,0.1
19/09/15,Thames Valley,Thames Valley - Oxford Area,0.6,3.7,6.1,2.5,0.6,0.0
20/09/15,Thames Valley,Thames Valley - Oxford Area,0.6,3.2,5.8,2.8,0.4,0.0
21/09/15,Thames Valley,Thames Valley - Oxford Area,0.1,2.6,5.6,2.5,0.0,0.0
22/09/15,Thames Valley,Thames Valley - Oxford Area,0.4,4.6,7.6,0.8,0.0,0.0
23/09/15,Thames Valley,Thames Valley - Oxford Area,0.8,2.9,5.8,3.0,0.1,0.0
24/09/15,Thames Valley,Thames Valley - Oxford Area,0.0,1.8,4.7,3.3,0.1,0.0
25/09/15,Thames Valley,Thames Valley - Oxford Area,1.0,4.0,6.8,2.1,0.2,0.0
26/09/15,Thames Valley,Thames Valley - Oxford Area,2.2,5.5,8.2,2.0,0.2,0.0
27/09/15,Thames Valley,Thames Valley - Oxford Area,1.7,4.6,7.1,2.6,0.5,0.0
28/09/15,Thames Valley,Thames Valley - Oxford Area,1.0,3.8,6.2,2.8,0.6,0.0
